x; y
6.059651296;0.006539279
8.624286894;0.006794056
11.20582678;0.008747348
14.72681782;0.010530788
18.91843024;0.012229299
21.93622553;0.014777069
24.30307802;0.01732484
24.86281702;0.01987261
26.31916216;0.022165604
27.86081304;0.024968152
29.83046604;0.02853503
31.22034449;0.031592357
33.81025681;0.034649682
41.03011181;0.034479831
43.9307839;0.031847134
44.9425337;0.028874736
45.45713697;0.027091296
48.67078281;0.024458598
50.36182477;0.02208068
50.36182477;0.019957539
52.11162114;0.017664545
54.53963615;0.015116775
57.73430769;0.012653928
61.11610784;0.010191082
65.43678308;0.007813164
76.7438351;0.005690024
100.8575718;0.004416138
132.5481033;0.003991509
160.8524753;0.005350318
197.4360736;0.006624203
247.9213127;0.006199578
314.8804853;0.004416138
382.1205812;0.003312102
428.1972579;0.001698515
595.7047598;0.000254777
838.228325;0.000339705
1291.958152;0.00042463
1777.015061;0.000594482
2707.900463;0.001019108
4033.537856;0.001528662
5740.655335;0.001528662
7544.430854;0.002123145
10615.92263;0.002462846
14937.88138;0.002462846
20313.6115;0.001443738
29242.02586;0.001698515
42576.68506;0.001953292
66374.68692;0.001613591
81470.66154;0.002208069
3558.751852;0.018683653
